Season,Moisture,Type,Slope,Stress,Construction,Mining,Deforestation,Class
Mansoon,60,Red,No,Low,0,0,0,0
Mansoon,61,Red,No,Low,0,0,1,0
Mansoon,62,Red,No,Low,0,1,0,0
Mansoon,64,Red,No,Low,0,1,1,0
Mansoon,66,Red,No,Low,1,0,0,0
Mansoon,68,Red,No,Low,1,0,1,0
Mansoon,70,Red,No,Low,1,1,0,0
Mansoon,72,Red,No,Low,1,1,1,0
Mansoon,74,Red,No,yes,0,0,0,0
Mansoon,76,Red,No,yes,0,0,1,0
Mansoon,78,Red,No,yes,0,1,0,0
Mansoon,80,Red,No,yes,0,1,1,0
Mansoon,82,Red,No,yes,1,0,0,0
Mansoon,84,Red,No,yes,1,0,1,0
Mansoon,86,Red,No,yes,1,1,0,0
Mansoon,88,Red,No,yes,1,1,1,1
Mansoon,90,Red,yes,Low,0,0,0,1
Mansoon,60,Red,yes,Low,0,0,1,1
Mansoon,61,Red,yes,Low,0,1,0,1
Mansoon,62,Red,yes,Low,0,1,1,1
Mansoon,64,Red,yes,Low,1,0,0,1
Mansoon,66,Red,yes,Low,1,0,1,1
Mansoon,68,Red,yes,Low,1,1,0,1
Mansoon,70,Red,yes,Low,1,1,1,1
Mansoon,72,Red,yes,yes,0,0,0,1
Mansoon,74,Red,yes,yes,0,0,1,1
Mansoon,76,Red,yes,yes,0,1,0,1
Mansoon,78,Red,yes,yes,0,1,1,1
Mansoon,80,Red,yes,yes,1,0,0,1
Mansoon,82,Red,yes,yes,1,0,1,1
Mansoon,84,Red,yes,yes,1,1,0,1
Mansoon,86,Red,yes,yes,1,1,1,1
Winter,50,Red,No,Low,0,0,0,0
Winter,51,Red,No,Low,0,0,1,0
Winter,52,Red,No,Low,0,1,0,0
Winter,53,Red,No,Low,0,1,1,0
Winter,54,Red,No,Low,1,0,0,0
Winter,55,Red,No,Low,1,0,1,0
Winter,56,Red,No,Low,1,1,0,0
Winter,57,Red,No,Low,1,1,1,0
Winter,58,Red,No,yes,0,0,0,0
Winter,59,Red,No,yes,0,0,1,0
Winter,60,Red,No,yes,0,1,0,0
Winter,61,Red,No,yes,0,1,1,0
Winter,62,Red,No,yes,1,0,0,0
Winter,63,Red,No,yes,1,0,1,0
Winter,64,Red,No,yes,1,1,0,0
Winter,65,Red,No,yes,1,1,1,1
Winter,66,Red,yes,Low,0,0,0,1
Winter,67,Red,yes,Low,0,0,1,1
Winter,68,Red,yes,Low,0,1,0,1
Winter,69,Red,yes,Low,0,1,1,1
Winter,70,Red,yes,Low,1,0,0,1
Winter,51,Red,yes,Low,1,0,1,1
Winter,53,Red,yes,Low,1,1,0,1
Winter,55,Red,yes,Low,1,1,1,1
Winter,57,Red,yes,yes,0,0,0,1
Winter,59,Red,yes,yes,0,0,1,1
Winter,61,Red,yes,yes,0,1,0,1
Winter,63,Red,yes,yes,0,1,1,1
Winter,65,Red,yes,yes,1,0,0,1
Winter,67,Red,yes,yes,1,0,1,1
Winter,69,Red,yes,yes,1,1,0,1
Winter,71,Red,yes,yes,1,1,1,1
Mansoon,60,Clayey,No,Low,0,0,0,0
Mansoon,61,Clayey,No,Low,0,0,1,0
Mansoon,62,Clayey,No,Low,0,1,0,0
Mansoon,64,Clayey,No,Low,0,1,1,0
Mansoon,66,Clayey,No,Low,1,0,0,0
Mansoon,68,Clayey,No,Low,1,0,1,0
Mansoon,70,Clayey,No,Low,1,1,0,1
Mansoon,72,Clayey,No,Low,1,1,1,1
Mansoon,74,Clayey,No,yes,0,0,0,1
Mansoon,76,Clayey,No,yes,0,0,1,1
Mansoon,78,Clayey,No,yes,0,1,0,1
Mansoon,80,Clayey,No,yes,0,1,1,1
Mansoon,82,Clayey,No,yes,1,0,0,1
Mansoon,84,Clayey,No,yes,1,0,1,1
Mansoon,86,Clayey,No,yes,1,1,0,1
Mansoon,88,Clayey,No,yes,1,1,1,1
Mansoon,90,Clayey,yes,Low,0,0,0,1
Mansoon,60,Clayey,yes,Low,0,0,1,1
Mansoon,61,Clayey,yes,Low,0,1,0,1
Mansoon,62,Clayey,yes,Low,0,1,1,1
Mansoon,64,Clayey,yes,Low,1,0,0,1
Mansoon,66,Clayey,yes,Low,1,0,1,1
Mansoon,68,Clayey,yes,Low,1,1,0,1
Mansoon,70,Clayey,yes,Low,1,1,1,1
Mansoon,72,Clayey,yes,yes,0,0,0,1
Mansoon,74,Clayey,yes,yes,0,0,1,1
Mansoon,76,Clayey,yes,yes,0,1,0,1
Mansoon,78,Clayey,yes,yes,0,1,1,1
Mansoon,80,Clayey,yes,yes,1,0,0,1
Mansoon,82,Clayey,yes,yes,1,0,1,1
Mansoon,84,Clayey,yes,yes,1,1,0,1
Mansoon,86,Clayey,yes,yes,1,1,1,1
Winter,50,Clayey,No,Low,0,0,0,0
Winter,51,Clayey,No,Low,0,0,1,0
Winter,52,Clayey,No,Low,0,1,0,0
Winter,53,Clayey,No,Low,0,1,1,0
Winter,54,Clayey,No,Low,1,0,0,0
Winter,55,Clayey,No,Low,1,0,1,0
Winter,56,Clayey,No,Low,1,1,0,0
Winter,57,Clayey,No,Low,1,1,1,0
Winter,58,Clayey,No,yes,0,0,0,0
Winter,59,Clayey,No,yes,0,0,1,0
Winter,60,Clayey,No,yes,0,1,0,0
Winter,61,Clayey,No,yes,0,1,1,1
Winter,62,Clayey,No,yes,1,0,0,0
Winter,63,Clayey,No,yes,1,0,1,0
Winter,64,Clayey,No,yes,1,1,0,0
Winter,65,Clayey,No,yes,1,1,1,0
Winter,66,Clayey,yes,Low,0,0,0,0
Winter,67,Clayey,yes,Low,0,0,1,0
Winter,68,Clayey,yes,Low,0,1,0,0
Winter,69,Clayey,yes,Low,0,1,1,0
Winter,70,Clayey,yes,Low,1,0,0,0
Winter,51,Clayey,yes,Low,1,0,1,0
Winter,53,Clayey,yes,Low,1,1,0,0
Winter,55,Clayey,yes,Low,1,1,1,1
Winter,57,Clayey,yes,yes,0,0,0,1
Winter,59,Clayey,yes,yes,0,0,1,1
Winter,61,Clayey,yes,yes,0,1,0,1
Winter,63,Clayey,yes,yes,0,1,1,1
Winter,65,Clayey,yes,yes,1,0,0,1
Winter,67,Clayey,yes,yes,1,0,1,1
